ID Transaksi,Tanggal Transaksi,ID Pelanggan,Nama Pelanggan,Kategori Klien,Paket Langganan,Nilai Transaksi (IDR),Status Pembayaran,Metode Pembayaran,SLA Support
TRX-2026-1001,2026-06-28 09:00,CUST-101,Aplikasi Anak Bangsa,Startup,Starter Developer,2500000.0,SUCCESS,Bank Transfer (Mandiri),Standard (24/7 Bot)
TRX-2026-1002,2026-03-14 10:00,CUST-112,PT Telkom Digital Solusi,Enterprise,Enterprise Custom,75000000.0,FAILED,Bank Transfer (BCA),99.99% SLA (Dedicated CS)
TRX-2026-1003,2026-06-16 14:00,CUST-101,PT Bank Mandiri Fintech,Enterprise,Enterprise Custom,35000000.0,SUCCESS,Bank Transfer (Mandiri),99.99% SLA (Dedicated CS)
TRX-2026-1004,2026-05-25 17:00,CUST-101,PT Teknologi Maju Bersama,SMB,Business Pro,12000000.0,SUCCESS,Corporate Invoice / Net 30,99.5% SLA (Dedicated Slack)
TRX-2026-1005,2026-03-13 15:00,CUST-110,PT Solusi Cloud Indonesia,SMB,Business Pro,12000000.0,SUCCESS,Bank Transfer (Mandiri),99.5% SLA (Dedicated Slack)
TRX-2026-1006,2026-07-13 14:00,CUST-106,PT Solusi Cloud Indonesia,SMB,Business Pro,12000000.0,SUCCESS,Bank Transfer (Mandiri),99.5% SLA (Dedicated Slack)
TRX-2026-1007,2026-04-12 09:00,CUST-102,Startup Inovasi Bangsa,Startup,Starter Developer,2500000.0,SUCCESS,Credit Card (Visa/Master),Standard (24/7 Bot)
TRX-2026-1008,2026-04-14 17:00,CUST-105,PT Edukasi Digital,SMB,Business Pro,12000000.0,SUCCESS,Corporate Invoice / Net 30,99.5% SLA (Dedicated Slack)
TRX-2026-1009,2026-06-02 09:00,CUST-115,Startup Inovasi Bangsa,Startup,Starter Developer,2500000.0,SUCCESS,Credit Card (Visa/Master),Standard (24/7 Bot)
TRX-2026-1010,2026-06-25 17:00,CUST-115,CV Siber Media,Startup,Starter Developer,2500000.0,SUCCESS,Bank Transfer (Mandiri),Standard (24/7 Bot)
TRX-2026-1011,2026-02-02 08:00,CUST-111,CV Digital Kreatif,SMB,Business Pro,12000000.0,SUCCESS,Bank Transfer (BCA),99.5% SLA (Dedicated Slack)
TRX-2026-1012,2026-03-16 09:00,CUST-107,PT Solusi Cloud Indonesia,SMB,Business Pro,12000000.0,SUCCESS,Credit Card (Visa/Master),99.5% SLA (Dedicated Slack)
TRX-2026-1013,2026-02-26 13:00,CUST-106,CV Digital Kreatif,SMB,Business Pro,12000000.0,FAILED,Credit Card (Visa/Master),99.5% SLA (Dedicated Slack)
TRX-2026-1014,2026-07-14 09:00,CUST-110,PT Retail Modern Indonesia,Enterprise,Enterprise Custom,35000000.0,PENDING,Bank Transfer (Mandiri),99.99% SLA (Dedicated CS)
TRX-2026-1015,2026-02-26 15:00,CUST-107,PT Solusi Cloud Indonesia,SMB,Business Pro,12000000.0,FAILED,Bank Transfer (Mandiri),99.5% SLA (Dedicated Slack)
TRX-2026-1016,2026-07-10 13:00,CUST-114,PT Edukasi Digital,SMB,Business Pro,12000000.0,SUCCESS,Bank Transfer (Mandiri),99.5% SLA (Dedicated Slack)
